Aspect_0	Aspect_1	Aspect_2	Aspect_3	alpha	beta	data	aux_data	sigma
0.125:0.135	-1.695:0.503	-2.284:0.650	-2.225:0.635	1035.974	136.799	178.447	380.475	-1.105
0.138:0.011	-1.687:0.006	-2.296:0.001	-2.235:0.001	10.005	173.408	457.558	93.942	-1.269
0.146:0.038	-1.670:0.017	-2.309:0.002	-2.244:0.004	32.667	192.853	474.870	103.953	-1.396
0.131:0.089	-1.632:0.045	-2.325:0.002	-2.252:0.008	77.810	188.197	414.792	147.456	-1.658
0.097:0.216	-1.563:0.134	-2.344:0.004	-2.267:0.009	196.070	140.054	225.584	243.060	-2.529
0.105:0.388	-1.512:0.255	-2.373:0.007	-2.299:0.012	356.614	123.715	107.930	304.434	-4.137
0.156:0.519	-1.477:0.318	-2.415:0.013	-2.343:0.015	466.568	130.854	30.039	326.836	-7.024
0.205:0.621	-1.437:0.349	-2.458:0.018	-2.388:0.021	543.936	135.044	1.922	331.564	-12.660
0.234:0.623	-1.387:0.353	-2.497:0.018	-2.428:0.020	546.290	135.266	0.009	334.611	-23.678
0.257:0.610	-1.344:0.351	-2.530:0.017	-2.462:0.019	537.544	135.266	39.229	337.913	-26.298
